Department,Region,quarter,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,KPi Achieved
Sales Engineering,Kalimantan,2022Q3,155.75,840.48,0.63,0.38,1,4,NO
Sales Operations,Papua,2022Q3,492.41,1081.31,0.31,0.22,5,30,NO
Inside Sales,Sulawesi,2022Q3,1226.45,991.76,0.21,0.18,16,59,YES
Outside Sales,NTB,2022Q3,2765.31,1365.21,0.26,0.23,43,215,YES
Account Management,Bali,2022Q3,1800.66,2202.48,0.14,0.15,24,210,NO
Business Development,Jawa,2022Q3,1455.57,2193.53,0.27,0.2,17,159,NO
Sales Enablement,Sumatra,2022Q3,871.96,755.1,0.46,0.42,14,122,YES
Channel Sales,Kalimantan,2022Q3,270.94,825.91,0.4,0.52,4,33,NO
Key Accounts,Papua,2022Q3,1584.12,2779.81,0.37,0.32,20,135,NO
Sales Analytics,Sulawesi,2022Q3,1753.2,3480.83,0.31,0.26,26,153,NO
Customer Success,NTB,2022Q3,2564.33,1548.37,0.16,0.22,35,209,YES
Sales Training,Bali,2022Q3,257.98,1970.45,0.16,0.3,2,10,NO
Strategic Partnerships,Jawa,2022Q3,931.79,2142.82,0.25,0.35,12,85,NO
Sales Support,Sumatra,2022Q3,836.89,1272.04,0.33,0.38,9,37,NO
Retail Sales,Kalimantan,2022Q3,93.92,1326.1,0.26,0.2,2,13,NO
E-commerce Sales,Papua,2022Q3,2383.4,3360.59,0.25,0.29,31,106,NO
Enterprise Sales,Sulawesi,2022Q3,426.87,980.61,0.1,0.15,7,42,NO
International Sales,NTB,2022Q3,2107,1960.93,0.23,0.25,28,90,YES
Sales Administration,Bali,2022Q3,1038.4,383.66,0.58,0.47,14,125,YES
Sales Engineering,Jawa,2022Q3,616.36,826.9,0.5,0.43,7,55,NO
Sales Operations,Sumatra,2022Q3,1075.36,2145.71,0.28,0.2,15,75,NO
Inside Sales,Kalimantan,2022Q3,1994.13,3095.7,0.14,0.22,29,102,NO
Outside Sales,Papua,2022Q3,2849.57,2717.95,0.3,0.22,38,260,YES
Account Management,Sulawesi,2022Q3,2578.59,1190.57,0.15,0.17,39,327,YES
Business Development,NTB,2022Q3,569.04,2061.43,0.19,0.21,7,31,NO
Sales Enablement,Bali,2022Q3,348.51,762.5,0.66,0.56,5,26,NO
Channel Sales,Jawa,2022Q3,219.26,554.36,0.48,0.44,3,20,NO
Key Accounts,Sumatra,2022Q3,2155.17,3409.22,0.15,0.24,31,87,NO
Sales Analytics,Kalimantan,2022Q3,392.6,1999.34,0.31,0.26,4,31,NO
Customer Success,Papua,2022Q3,409.66,1217.89,0.16,0.28,6,46,NO
Sales Training,Sulawesi,2022Q3,3801.47,1007.06,0.3,0.39,73,475,YES
Strategic Partnerships,NTB,2022Q3,889.95,2320.28,0.36,0.38,12,92,NO
Sales Support,Bali,2022Q3,397.82,1721.04,0.17,0.39,5,23,NO
Retail Sales,Jawa,2022Q3,1808.17,2056.38,0.29,0.18,26,81,NO
E-commerce Sales,Sumatra,2022Q3,2971.17,2671.48,0.3,0.32,38,133,YES
Enterprise Sales,Kalimantan,2022Q3,2649.22,1280.7,0.08,0.2,33,140,YES
International Sales,Papua,2022Q3,1978.37,1457.14,0.27,0.24,27,185,YES
Sales Administration,Sulawesi,2022Q3,461.07,742.56,0.27,0.47,6,51,NO
Sales Engineering,NTB,2022Q3,294.53,953.02,0.49,0.41,2,12,NO
Sales Operations,Bali,2022Q3,3127.68,2276.47,0.29,0.22,44,197,YES
Inside Sales,Jawa,2022Q3,3194.14,1127.47,0.26,0.17,45,345,YES
Outside Sales,Sumatra,2022Q3,1860.44,2585.5,0.23,0.22,23,93,NO
Account Management,Kalimantan,2022Q3,2097.42,1311.24,0.2,0.2,29,88,YES
Business Development,Papua,2022Q3,783.91,1709.15,0.08,0.21,12,37,NO
Sales Enablement,Sulawesi,2022Q3,1215.32,1113.9,0.3,0.54,17,71,YES
Channel Sales,NTB,2022Q3,607.12,611.83,0.54,0.5,7,41,NO
Key Accounts,Bali,2022Q3,2004.97,2359.96,0.31,0.26,26,167,NO
Sales Analytics,Jawa,2022Q3,3114.61,2109.69,0.34,0.29,42,283,YES
Customer Success,Sumatra,2022Q3,1887.7,1812.06,0.21,0.25,21,206,YES
Sales Training,Kalimantan,2022Q3,761.8,1812.41,0.48,0.26,11,64,NO
Strategic Partnerships,Papua,2022Q3,3254.37,1784.5,0.35,0.39,48,198,YES
Sales Support,Sulawesi,2022Q3,303.51,2408.09,0.18,0.36,3,10,NO
Retail Sales,NTB,2022Q3,2232.14,1406.64,0.22,0.18,29,103,YES
E-commerce Sales,Bali,2022Q3,3256.84,2687.51,0.24,0.22,45,370,YES
Enterprise Sales,Jawa,2022Q3,2018.03,1426.51,0.15,0.18,26,81,YES
International Sales,Sumatra,2022Q3,412.65,2530.65,0.38,0.26,5,33,NO
Sales Administration,Kalimantan,2022Q3,307.49,720.95,0.45,0.49,5,30,NO
Sales Engineering,Papua,2022Q3,357.79,617.59,0.68,0.52,5,28,NO
Sales Operations,Sulawesi,2022Q3,2942.27,2382.53,0.08,0.2,39,315,YES
Inside Sales,NTB,2022Q3,993.39,3119.48,0.18,0.22,14,87,NO
Outside Sales,Bali,2022Q3,1869.93,3061.98,0.11,0.22,24,224,NO
Account Management,Jawa,2022Q3,547.19,1462.89,0.11,0.18,7,48,NO
Business Development,Sumatra,2022Q3,419.62,2333.25,0.18,0.2,7,46,NO
Sales Enablement,Kalimantan,2022Q3,786.88,332.69,0.28,0.52,9,57,YES
Channel Sales,Papua,2022Q3,618.92,425.89,0.28,0.42,8,32,YES
Key Accounts,Sulawesi,2022Q3,705.16,1751.1,0.39,0.22,9,47,NO
Sales Analytics,NTB,2022Q3,2645.41,3348.07,0.17,0.23,35,168,NO
Customer Success,Bali,2022Q3,339.85,2527.7,0.16,0.25,3,15,NO
Sales Training,Jawa,2022Q3,538.82,2372.48,0.35,0.35,7,55,NO
Strategic Partnerships,Sumatra,2022Q3,3111.58,1916.67,0.14,0.35,50,194,YES
Sales Support,Kalimantan,2022Q3,1463.09,1114.48,0.29,0.39,19,103,YES
Retail Sales,Papua,2022Q3,3588.11,1895.89,0.3,0.22,74,544,YES
E-commerce Sales,Sulawesi,2022Q3,2690.72,3326.02,0.24,0.29,35,105,NO
Enterprise Sales,NTB,2022Q3,1821.01,2220.88,0.2,0.19,24,82,NO
International Sales,Bali,2022Q3,2801.22,2147.25,0.13,0.21,40,335,YES
Sales Administration,Jawa,2022Q3,743.62,495.2,0.25,0.45,9,40,YES
Sales Engineering,Sumatra,2022Q3,323.95,942.58,0.56,0.47,4,18,NO
Sales Operations,Kalimantan,2022Q3,821.96,3118.22,0.12,0.21,10,80,NO
Inside Sales,Papua,2022Q3,1782.74,1307.62,0.22,0.22,23,213,YES
Outside Sales,Sulawesi,2022Q3,3455.5,2407.97,0.31,0.2,48,337,YES
Account Management,NTB,2022Q3,419.01,2322.31,0.09,0.19,5,18,NO
Business Development,Bali,2022Q3,1848.58,1954.41,0.22,0.16,26,153,NO
Sales Enablement,Jawa,2022Q3,694.99,1081.55,0.54,0.6,8,44,NO
Channel Sales,Sumatra,2022Q3,1209.79,438.36,0.56,0.46,16,141,YES
Key Accounts,Kalimantan,2022Q3,824.3,2957.89,0.18,0.29,10,84,NO
Sales Analytics,Papua,2022Q3,889.55,2983.27,0.13,0.23,14,115,NO
Customer Success,Sulawesi,2022Q3,590.24,2548.63,0.22,0.29,7,43,NO
Sales Training,NTB,2022Q3,971.79,1898.72,0.47,0.35,12,43,NO
Strategic Partnerships,Bali,2022Q3,2658.5,1267.51,0.18,0.33,35,102,YES
Sales Support,Jawa,2022Q3,3869.11,2986.51,0.17,0.35,78,553,YES
Retail Sales,Sumatra,2022Q3,3269.94,2381.94,0.11,0.18,49,270,YES
E-commerce Sales,Kalimantan,2022Q3,4185.39,3001.05,0.19,0.26,66,420,YES
Enterprise Sales,Papua,2022Q3,957.29,1547.75,0.25,0.17,14,43,NO
International Sales,Sulawesi,2022Q3,1926.57,699.91,0.18,0.26,28,173,YES
Sales Administration,NTB,2022Q3,681.27,311.38,0.41,0.4,8,36,YES
Sales Engineering,Bali,2022Q3,86.34,745.63,0.27,0.49,2,9,NO
Sales Operations,Jawa,2022Q3,435.7,3264.02,0.26,0.21,5,40,NO
Inside Sales,Sumatra,2022Q3,2204.74,2674.81,0.15,0.23,31,217,NO
Outside Sales,Kalimantan,2022Q3,2426.87,2897.56,0.26,0.17,38,258,NO
Account Management,Papua,2022Q3,2376.92,674.52,0.27,0.19,30,239,YES
Business Development,Sulawesi,2022Q3,2153.14,2040.29,0.13,0.2,29,170,YES
Sales Enablement,NTB,2022Q3,404.87,1160.57,0.22,0.52,6,38,NO
Channel Sales,Bali,2022Q3,931.52,826.23,0.64,0.42,12,69,YES
Key Accounts,Jawa,2022Q3,3664.94,3637.79,0.34,0.31,84,243,YES
Sales Analytics,Sumatra,2022Q3,3831.39,3775.62,0.32,0.26,73,721,YES
Customer Success,Kalimantan,2022Q3,1898.07,1796.82,0.14,0.26,23,138,YES
Sales Training,Papua,2022Q3,3793.64,2481.02,0.31,0.38,73,632,YES
Strategic Partnerships,Sulawesi,2022Q3,1831.9,3123,0.48,0.33,24,203,NO
Sales Support,NTB,2022Q3,1562.39,3367.69,0.3,0.27,23,107,NO
Retail Sales,Bali,2022Q3,2285.64,1002.33,0.28,0.18,31,107,YES
E-commerce Sales,Jawa,2022Q3,3508.21,1757.11,0.32,0.23,48,412,YES
Enterprise Sales,Sumatra,2022Q3,312.34,962.96,0.18,0.17,5,47,NO
International Sales,Kalimantan,2022Q3,1040.97,2344.89,0.14,0.23,14,54,NO
Sales Administration,Papua,2022Q3,850.81,937.6,0.25,0.49,9,77,NO
Sales Engineering,Sulawesi,2022Q3,583.93,611.49,0.5,0.49,7,29,NO
Sales Operations,NTB,2022Q3,2659.72,1046.53,0.1,0.2,35,228,YES
Inside Sales,Bali,2022Q3,2182.19,3107.89,0.22,0.2,33,317,NO
Outside Sales,Jawa,2022Q3,958.15,2714.06,0.23,0.23,12,93,NO
Account Management,Sumatra,2022Q3,2568.89,677.35,0.26,0.2,38,336,YES
Business Development,Kalimantan,2022Q3,2609.75,1271.39,0.08,0.15,33,106,YES
Sales Enablement,Papua,2022Q3,979.58,712.46,0.66,0.42,14,74,YES
Channel Sales,Sulawesi,2022Q3,1208.63,389.98,0.66,0.48,16,69,YES
Key Accounts,NTB,2022Q3,3178.07,2945.94,0.42,0.25,45,432,YES
Sales Analytics,Bali,2022Q3,1487.07,2393.44,0.26,0.24,23,90,NO
Customer Success,Jawa,2022Q3,2866.88,1999.13,0.4,0.2,44,144,YES
Sales Training,Sumatra,2022Q3,3442.32,3483.59,0.36,0.35,50,286,NO
Strategic Partnerships,Kalimantan,2022Q3,2784.31,2951.04,0.2,0.29,39,191,NO
Sales Support,Papua,2022Q3,2168.37,3186.58,0.14,0.35,31,157,NO
Retail Sales,Sulawesi,2022Q3,115.62,1397.49,0.23,0.2,1,4,NO
E-commerce Sales,NTB,2022Q3,1271.45,2352.42,0.12,0.28,17,150,NO
Enterprise Sales,Bali,2022Q3,302.93,832.08,0.22,0.17,5,27,NO
International Sales,Jawa,2022Q3,772.12,999.11,0.31,0.21,10,75,NO
Sales Administration,Sumatra,2022Q3,383.86,660.4,0.27,0.49,3,21,NO
Sales Engineering,Kalimantan,2022Q3,161.56,761.75,0.47,0.52,1,6,NO
Sales Operations,Papua,2022Q3,919.26,2296.17,0.14,0.22,14,97,NO
Inside Sales,Sulawesi,2022Q3,2806.9,825.81,0.23,0.19,42,151,YES
Outside Sales,NTB,2022Q3,798.43,2636.87,0.1,0.21,12,42,NO
Account Management,Bali,2022Q3,66.39,2083.99,0.15,0.17,2,12,NO
Business Development,Jawa,2022Q3,2495.7,1013.86,0.21,0.19,36,331,YES
Sales Enablement,Sumatra,2022Q3,1129.67,640.97,0.68,0.48,15,50,YES
Channel Sales,Kalimantan,2022Q3,472.27,791.44,0.46,0.56,5,37,NO
Key Accounts,Papua,2022Q3,3981.97,1783.69,0.21,0.23,52,155,YES
Sales Analytics,Sulawesi,2022Q3,2215.91,1009.56,0.37,0.29,33,227,YES
Customer Success,NTB,2022Q3,2549.91,2368.87,0.21,0.24,37,127,YES
Sales Training,Bali,2022Q3,1028,3153.72,0.17,0.27,14,44,NO
Strategic Partnerships,Jawa,2022Q3,1972.25,1246.42,0.18,0.35,26,230,YES
Sales Support,Sumatra,2022Q3,841.22,1581.98,0.31,0.36,12,56,NO
Retail Sales,Kalimantan,2022Q3,1663.11,3215.48,0.12,0.18,22,114,NO
E-commerce Sales,Papua,2022Q3,3754.52,3640.25,0.3,0.3,81,496,YES
Enterprise Sales,Sulawesi,2022Q3,1278.08,1016.76,0.09,0.17,17,91,YES
International Sales,NTB,2022Q3,2732.86,716.1,0.29,0.25,40,353,YES
Sales Administration,Bali,2022Q3,889.88,311.66,0.43,0.41,14,99,YES
Sales Engineering,Jawa,2022Q3,370.55,353.12,0.56,0.36,4,32,YES
Sales Operations,Sumatra,2022Q3,1721.83,2387.06,0.2,0.22,26,237,NO
Inside Sales,Kalimantan,2022Q3,2113.1,2843.49,0.11,0.2,26,86,NO
Outside Sales,Papua,2022Q3,1847.45,1077.9,0.09,0.18,25,230,YES
Account Management,Sulawesi,2022Q3,106.97,2311.71,0.23,0.21,2,14,NO
Business Development,NTB,2022Q3,1455.02,2082.41,0.13,0.17,21,202,NO
Sales Enablement,Bali,2022Q3,1192.34,1207.68,0.4,0.4,16,51,NO
Channel Sales,Jawa,2022Q3,356.14,906.97,0.78,0.46,5,25,NO
Key Accounts,Sumatra,2022Q3,3407.33,3412.19,0.41,0.33,49,443,NO
Sales Analytics,Kalimantan,2022Q3,4131.41,2606.98,0.29,0.29,80,601,YES
Customer Success,Papua,2022Q3,1079.34,1782.59,0.27,0.21,14,92,NO
Sales Training,Sulawesi,2022Q3,485.03,2982.98,0.3,0.29,5,49,NO
Strategic Partnerships,NTB,2022Q3,3525.45,2641.88,0.48,0.34,46,402,YES
Sales Support,Bali,2022Q3,3524.83,1210.52,0.38,0.36,48,370,YES
Retail Sales,Jawa,2022Q3,344.24,2774.89,0.18,0.19,5,17,NO
E-commerce Sales,Sumatra,2022Q3,1016.9,1244.97,0.23,0.29,14,66,NO
Enterprise Sales,Kalimantan,2022Q3,540,1987.45,0.23,0.2,7,51,NO
International Sales,Papua,2022Q3,1416.11,1695.95,0.2,0.25,18,166,NO
Sales Administration,Sulawesi,2022Q3,327.35,781.29,0.32,0.41,4,26,NO
Sales Engineering,NTB,2022Q3,988.16,860.63,0.54,0.5,14,68,YES
Sales Operations,Bali,2022Q3,2542.19,960.71,0.2,0.24,38,343,YES
Inside Sales,Jawa,2022Q3,108.1,3030.78,0.15,0.19,1,3,NO
Outside Sales,Sumatra,2022Q3,2476.31,2823.15,0.21,0.21,39,155,NO
Account Management,Kalimantan,2022Q3,1955.54,997.58,0.1,0.14,26,100,YES
Business Development,Papua,2022Q3,1931.68,2040.86,0.07,0.17,26,104,NO
Sales Enablement,Sulawesi,2022Q3,977.73,399.66,0.66,0.52,13,112,YES
Channel Sales,NTB,2022Q3,1043.38,725.69,0.7,0.52,15,80,YES
Key Accounts,Bali,2022Q3,3389.69,2733.23,0.29,0.33,49,411,YES
Sales Analytics,Jawa,2022Q3,1298.63,1776.53,0.17,0.32,18,138,NO
Customer Success,Sumatra,2022Q3,296.01,2234.95,0.29,0.22,4,34,NO
Sales Training,Kalimantan,2022Q3,3513.11,3168.42,0.25,0.36,49,154,YES
Strategic Partnerships,Papua,2022Q3,3134.29,3436.17,0.4,0.36,45,283,NO
Sales Support,Sulawesi,2022Q3,531.73,2741.06,0.23,0.26,7,25,NO
Retail Sales,NTB,2022Q3,2712.29,1113.91,0.26,0.21,41,343,YES
E-commerce Sales,Bali,2022Q3,2456.89,2530.68,0.33,0.33,37,302,NO
Enterprise Sales,Jawa,2022Q3,2282.5,2007.38,0.14,0.19,35,294,YES
International Sales,Sumatra,2022Q3,2528.16,1610.74,0.34,0.28,38,281,YES
Sales Administration,Kalimantan,2022Q3,18.05,481.95,0.22,0.4,2,6,NO
Sales Engineering,Papua,2022Q3,418.95,739.7,0.49,0.38,5,21,NO
Sales Operations,Sulawesi,2022Q3,767.04,2786.89,0.24,0.2,12,38,NO
Inside Sales,NTB,2022Q3,815.58,1610.28,0.3,0.2,10,80,NO
Outside Sales,Bali,2022Q3,89.44,998.48,0.22,0.18,2,12,NO
Account Management,Jawa,2022Q3,594.26,894.81,0.09,0.17,8,35,NO
Business Development,Sumatra,2022Q3,1790.71,1690.51,0.13,0.17,26,80,YES
Sales Enablement,Kalimantan,2022Q3,583.84,909.17,0.5,0.44,7,39,NO
Channel Sales,Papua,2022Q3,463.35,542.63,0.2,0.44,5,34,NO
Key Accounts,Sulawesi,2022Q3,1911.13,3085.12,0.14,0.29,25,72,NO
Sales Analytics,NTB,2022Q3,1769.67,3510.6,0.26,0.22,25,100,NO
Customer Success,Bali,2022Q3,932.08,1418.01,0.29,0.23,13,106,NO
Sales Training,Jawa,2022Q3,1594.16,1385.22,0.33,0.3,22,72,YES
Strategic Partnerships,Sumatra,2022Q3,462.53,3101.7,0.16,0.27,6,41,NO
Sales Support,Kalimantan,2022Q3,2473.19,1921.04,0.45,0.31,39,279,YES
Retail Sales,Papua,2022Q3,858.02,3033.34,0.12,0.18,10,53,NO
E-commerce Sales,Sulawesi,2022Q3,462.73,2852.5,0.19,0.3,6,24,NO
Enterprise Sales,NTB,2022Q3,1735.41,1270.51,0.1,0.17,22,143,YES
International Sales,Bali,2022Q3,2671.21,1164.64,0.2,0.26,37,182,YES
Sales Administration,Jawa,2022Q3,804.54,576.81,0.7,0.5,10,37,YES
Sales Engineering,Sumatra,2022Q3,603.77,401.65,0.41,0.41,7,57,YES
Sales Operations,Kalimantan,2022Q3,831.15,3017.58,0.21,0.24,10,44,NO
Inside Sales,Papua,2022Q3,1345.28,2066.34,0.28,0.23,19,99,NO
Outside Sales,Sulawesi,2022Q3,292.85,2260.8,0.09,0.21,3,21,NO
Account Management,NTB,2022Q3,734.19,1106.55,0.24,0.2,8,61,NO
Business Development,Bali,2022Q3,452.83,1529.59,0.27,0.15,7,52,NO
Sales Enablement,Jawa,2022Q3,1006.79,852.87,0.32,0.46,15,66,YES
Channel Sales,Sumatra,2022Q3,772.92,858.37,0.26,0.4,10,37,NO
Key Accounts,Kalimantan,2022Q3,3144.68,2989.64,0.15,0.32,50,369,YES
Sales Analytics,Papua,2022Q3,2028.26,3196.57,0.39,0.26,31,125,NO
Customer Success,Sulawesi,2022Q3,1084.13,2595.36,0.14,0.28,14,133,NO
Sales Training,NTB,2022Q3,2301.98,2942.34,0.27,0.26,35,261,NO
Strategic Partnerships,Bali,2022Q3,1238.39,2683.89,0.31,0.27,17,55,NO
Sales Support,Jawa,2022Q3,2576.65,1961.69,0.29,0.39,39,332,YES
Retail Sales,Sumatra,2022Q3,1727.77,1012.68,0.22,0.18,24,113,YES
E-commerce Sales,Kalimantan,2022Q3,3236.51,1063.17,0.37,0.25,47,231,YES
Enterprise Sales,Papua,2022Q3,2223.91,2051.98,0.24,0.2,34,257,YES
International Sales,Sulawesi,2022Q3,134.21,2520.59,0.19,0.28,1,3,NO
Sales Administration,NTB,2022Q3,859.31,474.72,0.25,0.52,12,58,YES
Sales Engineering,Bali,2022Q3,370.89,549,0.65,0.49,3,25,NO
Sales Operations,Jawa,2022Q3,3086.28,2021.8,0.12,0.19,51,193,YES
Inside Sales,Sumatra,2022Q3,2146.18,2465,0.26,0.19,25,242,NO
Outside Sales,Kalimantan,2022Q3,2302.53,3277.27,0.2,0.19,35,180,NO
Account Management,Papua,2022Q3,771.73,2008.35,0.18,0.2,12,58,NO
Business Development,Sulawesi,2022Q3,1971.14,728.77,0.1,0.15,26,76,YES
Sales Enablement,NTB,2022Q3,1045.18,1193.54,0.62,0.5,14,109,NO
Channel Sales,Bali,2022Q3,511.84,704.88,0.38,0.52,8,56,NO
Key Accounts,Jawa,2022Q3,310.67,2698.11,0.23,0.32,5,40,NO
Sales Analytics,Sumatra,2022Q3,1558.81,1829.44,0.33,0.32,22,139,NO
Customer Success,Kalimantan,2022Q3,2267.33,1524.44,0.17,0.27,33,215,YES
Sales Training,Papua,2022Q3,2107.12,1444,0.13,0.34,29,136,YES
Strategic Partnerships,Sulawesi,2022Q3,3131.03,1984.64,0.23,0.34,42,296,YES
Sales Support,NTB,2022Q3,1331.87,1912.26,0.43,0.26,21,149,NO
Retail Sales,Bali,2022Q3,2264.89,2142.73,0.1,0.23,30,85,YES
E-commerce Sales,Jawa,2022Q3,1427.35,1520.7,0.11,0.31,17,155,NO
Enterprise Sales,Sumatra,2022Q3,2303.62,1686,0.12,0.16,30,93,YES
International Sales,Kalimantan,2022Q3,1835.73,1485.4,0.18,0.3,25,81,YES
Sales Administration,Papua,2022Q3,65.01,927.06,0.31,0.38,2,7,NO
Sales Engineering,Sulawesi,2022Q3,204.62,573.18,0.36,0.43,3,12,NO
Sales Operations,NTB,2022Q3,310.43,2511.68,0.25,0.24,4,22,NO
Inside Sales,Bali,2022Q3,1740.34,1649.81,0.14,0.17,24,205,YES
Outside Sales,Jawa,2022Q3,1853.01,1242.71,0.31,0.24,25,89,YES
Account Management,Sumatra,2022Q3,751.05,2064.07,0.13,0.2,9,54,NO
Business Development,Kalimantan,2022Q3,1985.04,1555.1,0.09,0.17,28,162,YES
Sales Enablement,Papua,2022Q3,412.71,795.68,0.48,0.6,5,21,NO
Channel Sales,Sulawesi,2022Q3,960.85,654.87,0.72,0.48,14,116,YES
Key Accounts,NTB,2022Q3,3662.36,1192.7,0.18,0.24,80,519,YES
Sales Analytics,Bali,2022Q3,2138.97,2686.15,0.28,0.22,29,189,NO
Customer Success,Jawa,2022Q3,1677.1,1247.77,0.38,0.28,20,60,YES
Sales Training,Sumatra,2022Q3,2880.83,1423.11,0.44,0.29,40,128,YES
Strategic Partnerships,Kalimantan,2022Q3,1965.08,1341.83,0.36,0.33,27,241,YES
Sales Support,Papua,2022Q3,1736.7,2633.01,0.14,0.33,24,128,NO
Retail Sales,Sulawesi,2022Q3,1866.85,2225.25,0.21,0.17,26,77,NO
E-commerce Sales,NTB,2022Q3,1870.05,1852.18,0.22,0.25,24,119,YES
Enterprise Sales,Bali,2022Q3,1879.48,1773.19,0.16,0.15,26,193,YES
International Sales,Jawa,2022Q3,2037.71,2194.11,0.17,0.27,31,171,NO
Sales Administration,Sumatra,2022Q3,66.77,514.21,0.36,0.38,2,11,NO
Sales Engineering,Kalimantan,2022Q3,622.06,708.61,0.67,0.47,10,97,NO
Sales Operations,Papua,2022Q3,1978.35,2352.84,0.22,0.22,25,229,NO
Inside Sales,Sulawesi,2022Q3,595.44,2739.82,0.1,0.23,8,25,NO
Outside Sales,NTB,2022Q3,1994.33,2785.1,0.11,0.18,30,177,NO
Account Management,Bali,2022Q3,258.49,622.03,0.13,0.2,3,14,NO
Business Development,Jawa,2022Q3,1460.72,1897.64,0.22,0.18,19,153,NO
Sales Enablement,Sumatra,2022Q3,295.5,488.65,0.7,0.42,5,17,NO
Channel Sales,Kalimantan,2022Q3,425.77,684.87,0.68,0.46,6,47,NO
Key Accounts,Papua,2022Q3,2094.52,3581.06,0.17,0.31,27,241,NO
Sales Analytics,Sulawesi,2022Q3,3210.29,2869.46,0.31,0.31,45,221,YES
Customer Success,NTB,2022Q3,1427.87,1920.65,0.17,0.28,17,96,NO
Sales Training,Bali,2022Q3,2700.02,1246.81,0.38,0.39,38,333,YES
Strategic Partnerships,Jawa,2022Q3,2244.63,2180.25,0.49,0.36,33,297,YES
Sales Support,Sumatra,2022Q3,3335.48,2954.02,0.45,0.34,48,189,YES
Retail Sales,Kalimantan,2022Q3,1294.7,1962.24,0.3,0.21,20,89,NO
E-commerce Sales,Papua,2022Q3,585.92,2044.05,0.43,0.28,7,58,NO
Enterprise Sales,Sulawesi,2022Q3,1404.36,1798.53,0.24,0.17,19,102,NO
International Sales,NTB,2022Q3,1054.25,1071.14,0.17,0.26,14,50,NO
Sales Administration,Bali,2022Q3,161.25,898.82,0.38,0.47,2,5,NO
Sales Engineering,Jawa,2022Q3,386.51,296.28,0.49,0.5,5,17,YES
Sales Operations,Sumatra,2022Q3,1724.24,1327.92,0.26,0.22,22,126,YES
Inside Sales,Kalimantan,2022Q3,2217.88,1271.96,0.14,0.17,31,176,YES
Outside Sales,Papua,2022Q3,154.06,1382.09,0.18,0.22,1,6,NO
Account Management,Sulawesi,2022Q3,2285.19,1726.22,0.16,0.18,32,269,YES
Business Development,NTB,2022Q3,1199.46,894.18,0.23,0.2,17,65,YES
Sales Enablement,Bali,2022Q3,853.75,1068.8,0.48,0.52,11,66,NO
Channel Sales,Jawa,2022Q3,831.99,425.09,0.58,0.54,10,73,YES
Key Accounts,Sumatra,2022Q3,3777.86,2162.37,0.35,0.28,59,357,YES
Sales Analytics,Kalimantan,2022Q3,262.75,2138.81,0.39,0.25,3,7,NO
Customer Success,Papua,2022Q3,1180.29,733.49,0.28,0.29,16,153,YES
Sales Training,Sulawesi,2022Q3,1351.32,3030.47,0.23,0.38,19,113,NO
Strategic Partnerships,NTB,2022Q3,3415.38,2338.68,0.21,0.29,42,149,YES
Sales Support,Bali,2022Q3,1373.55,2142.57,0.18,0.34,19,62,NO
Retail Sales,Jawa,2022Q3,945.18,2333.05,0.18,0.17,12,42,NO
E-commerce Sales,Sumatra,2022Q3,1890.09,3710.91,0.36,0.32,26,181,NO
Enterprise Sales,Kalimantan,2022Q3,1315.26,2199.39,0.22,0.15,21,116,NO
International Sales,Papua,2022Q3,2592.37,1113.97,0.34,0.26,35,324,YES
Sales Administration,Sulawesi,2022Q3,429.75,956.89,0.5,0.52,5,34,NO
Sales Engineering,NTB,2022Q3,528.39,719.68,0.2,0.45,8,33,NO
Sales Operations,Bali,2022Q3,729.93,3105.59,0.09,0.19,8,38,NO
Inside Sales,Jawa,2022Q3,1067.64,1574.81,0.29,0.22,14,39,NO
Outside Sales,Sumatra,2022Q3,2664.81,1183.94,0.22,0.22,33,133,YES
Account Management,Kalimantan,2022Q3,2206.32,1657.55,0.13,0.2,33,116,YES
Business Development,Papua,2022Q3,514.91,1986.24,0.08,0.2,8,67,NO
Sales Enablement,Sulawesi,2022Q3,207.99,584.43,0.5,0.56,4,25,NO
Channel Sales,NTB,2022Q3,267.95,692.55,0.32,0.44,3,26,NO
Key Accounts,Bali,2022Q3,1315.38,2932.73,0.12,0.31,19,180,NO
Sales Analytics,Jawa,2022Q3,859.38,1665.47,0.35,0.24,12,107,NO
Customer Success,Sumatra,2022Q3,554.16,1586.28,0.34,0.27,7,43,NO
Sales Training,Kalimantan,2022Q3,1713.17,1274.66,0.16,0.36,22,144,YES
Strategic Partnerships,Papua,2022Q3,2328.7,2582.4,0.26,0.36,35,250,NO
Sales Support,Sulawesi,2022Q3,3528.71,3434.28,0.48,0.33,45,185,YES
Retail Sales,NTB,2022Q3,1909.42,1813.09,0.22,0.22,24,137,YES
E-commerce Sales,Bali,2022Q3,2056.19,1869.81,0.25,0.26,26,247,YES
Enterprise Sales,Jawa,2022Q3,430.61,977.9,0.16,0.16,5,32,NO
International Sales,Sumatra,2022Q3,2232.24,2234.11,0.27,0.24,31,195,NO
Sales Administration,Kalimantan,2022Q3,850.55,891.16,0.59,0.4,11,68,NO
Sales Engineering,Papua,2022Q3,647.17,365.69,0.41,0.5,8,25,YES
Sales Operations,Sulawesi,2022Q3,2333.12,1136.77,0.2,0.18,32,205,YES
Inside Sales,NTB,2022Q3,1655.18,2276.72,0.26,0.22,20,83,NO
Outside Sales,Bali,2022Q3,474.13,907.74,0.2,0.22,7,36,NO
